@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.672717,-0.472674,0.322581,-0.473384,-0.419355,-0.894936,-0.88358,-0.518797,0.140707,-0.959033,-0.22368,-0.765869,0.5866,-0.694854,NON_ULCER
-0.019966,0.133774,-0.032258,0.132458,0.16129,-0.993515,-0.995007,0.007519,0.139259,-0.934013,-0.173529,-0.880082,0.136909,-0.670675,NON_ULCER
-0.493399,-0.372903,-0.096774,-0.374622,-0.427419,-0.991985,-0.994207,-0.233083,0.139051,-0.974021,0.025662,-0.937877,0.056818,-0.880022,NON_ULCER
-0.574908,-0.470738,-0.096774,-0.471645,-0.451613,-0.989891,-0.989341,-0.203008,0.140061,-0.968487,0.354171,-0.905069,0.388905,-0.920453,NON_ULCER
-0.404905,-0.245728,0.064516,-0.246661,-0.282258,-0.9619,-0.993171,-0.157895,0.137689,-0.977317,-0.015725,-0.891591,0.315122,-0.919798,NON_ULCER
-0.159582,0.013992,0.096774,0.013771,0.032258,-0.993175,-0.998523,-0.022556,0.146532,-0.973735,0.055258,-0.918644,0.387919,-0.907342,NON_ULCER
-0.193449,-0.008506,0.225806,-0.009304,-0.064516,-0.984006,-0.993873,-0.112782,0.139577,-0.985395,0.116298,-0.936303,0.363452,-0.952735,NON_ULCER
-0.362049,-0.176994,0.129032,-0.177643,-0.225806,-0.982334,-0.99763,-0.097744,0.139153,-0.972787,-0.129483,-0.906987,-0.039955,-0.794968,NON_ULCER
-0.477268,-0.355431,-0.064516,-0.356587,-0.330645,-0.992224,-0.994765,-0.203008,0.137727,-0.96818,-0.069482,-0.924645,0.215677,-0.896996,NON_ULCER
-0.347927,-0.205715,-0.032258,-0.206714,-0.258065,-0.993076,-0.996763,-0.18797,0.140286,-0.988416,0.09757,-0.945107,0.071162,-0.857952,NON_ULCER
