@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-13,15-25,27-29,31-39,41-52,54-76,78-86,88-92,94-120,122-131,133-179,181-186'

@attribute color_bgr_g_intensity1 numeric
@attribute color_lab_a_mean numeric
@attribute color_lab_b_variance numeric
@attribute color_lab_l_intensity2 numeric
@attribute color_luv_u_variance numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_intensity1 numeric
@attribute color_norm_r_frequency1 numeric
@attribute haralick_lab_b_correlation numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_g_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.282869,0.001961,-0.962881,-0.177419,-0.951485,-0.992686,-0.411765,-0.76,-0.574018,-0.902375,-0.874561,ULCER
-0.227092,0.093027,-0.983838,-0.056452,-0.928234,-0.984629,-0.421569,-0.352,0.139568,-0.826785,-0.822098,ULCER
-0.322709,-0.00938,-0.896027,-0.258065,-0.885527,-0.991637,-0.382353,-0.776,-0.757467,-0.743146,-0.744423,ULCER
-0.123506,-0.2226,-0.960619,0.096774,-0.951455,-0.996474,-0.529412,-0.704,-0.785894,-0.752544,-0.872928,ULCER
0.01992,-0.154965,-0.9916,0.16129,-0.972234,-0.995661,-0.470588,-0.968,-0.991431,-0.92737,-0.969039,ULCER
-0.139442,-0.112274,-0.939078,-0.096774,-0.834428,-0.962374,-0.480392,-0.664,-0.599179,-0.848941,-0.89083,ULCER
-0.250996,-0.237706,-0.958565,0.217742,-0.900081,-0.992915,-0.54902,-0.968,-0.98795,-0.792831,-0.930246,ULCER
0.227092,-0.284973,-0.98619,0.266129,-0.963265,-0.995688,-0.558824,-0.56,-0.57199,-0.595395,-0.779414,ULCER
-0.282869,-0.09756,-0.87557,-0.241935,-0.697685,-0.962147,-0.480392,-0.776,-0.528839,-0.73886,-0.795524,ULCER
-0.003984,-0.384388,-0.971291,0.08871,-0.950145,-0.995614,-0.598039,-0.632,-0.596073,-0.712288,-0.752017,ULCER
-0.219124,-0.31172,-0.989438,-0.120968,-0.990336,-0.992417,-0.558824,-0.912,-0.960728,-0.855136,-0.91305,ULCER
-0.091633,-0.104382,-0.964205,0.032258,-0.979107,-0.994511,-0.5,-0.776,-0.712694,-0.708875,-0.789414,ULCER
-0.434263,0.075467,-0.956382,-0.330645,-0.915345,-0.968455,-0.372549,-0.632,-0.435936,-0.831461,-0.882761,ULCER
-0.043825,-0.349636,-0.964276,0.032258,-0.979811,-0.991054,-0.588235,-0.6,-0.490932,-0.559163,-0.845833,ULCER
0.123506,-0.027106,-0.962065,0.314516,-0.769845,-0.97977,-0.490196,-0.8,-0.704244,-0.763053,-0.843733,ULCER
0.067729,-0.371796,-0.981063,-0.08871,-0.979763,-0.997464,-0.588235,-0.472,-0.63006,-0.763103,-0.829964,ULCER
-0.243028,0.071231,-0.782834,-0.112903,-0.317058,-0.951895,-0.362745,-0.6,-0.344166,-0.659453,-0.831724,ULCER
0.003984,-0.131276,-0.985337,0.112903,-0.922225,-0.990889,-0.490196,-0.872,-0.912484,-0.872413,-0.863346,ULCER
0.075697,-0.081339,-0.965607,0.217742,-0.7876,-0.979384,-0.529412,-0.856,-0.850265,-0.772956,-0.855609,ULCER
0.227092,-0.348851,-0.916092,0.290323,-0.916219,-0.991923,-0.617647,-0.688,-0.526577,-0.709835,-0.804613,ULCER
0.083665,-0.081083,-0.975181,0.314516,-0.880864,-0.991747,-0.509804,-0.936,-0.955254,-0.852087,-0.941244,ULCER
0.003984,-0.046091,-0.927896,0.137097,-0.967142,-0.988244,-0.441176,-0.464,-0.294348,-0.842886,-0.83739,NON_ULCER
-0.051793,-0.109379,-0.882932,0.129032,-0.952694,-0.993546,-0.460784,-0.4,-0.047619,-0.826096,-0.86606,NON_ULCER
-0.386454,0.260896,-0.942375,-0.282258,-0.976782,-0.985795,-0.333333,-0.384,0.176395,-0.959522,-0.903484,NON_ULCER
-0.577689,0.434058,-0.969455,-0.298387,-0.967921,-0.985022,-0.205882,-0.352,0.451316,-0.977561,-0.489776,NON_ULCER
-0.187251,0.054135,-0.996348,0.072581,-0.92338,-0.989722,-0.431373,-0.528,-0.487732,-0.987822,-0.958983,NON_ULCER
0.043825,0.190866,-0.992619,0.233871,-0.993944,-0.986313,-0.441176,-0.976,-0.988939,-0.861724,-0.963801,NON_ULCER
