@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-6,8-40,42-54,56-77,79-84,86-121,124-129,131-158,160-185'

@attribute color_bgr_b_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_luv_u_contrast numeric
@attribute haralick_luv_u_energy numeric
@attribute haralick_luv_v_homogeneity numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.060241,-0.571429,0.180328,-0.996068,-0.399209,-0.971187,-0.887001,-0.796408,0.673456,-0.800273,ULCER
-0.277108,-0.657143,-0.229508,-0.998575,-0.359684,-0.998499,-0.989165,-0.989675,0.181217,-0.965646,ULCER
-0.028112,-0.671429,0.032787,-0.993229,-0.359684,-0.955392,-0.681884,-0.498941,0.80987,-0.786857,ULCER
-0.116466,-0.685714,-0.040984,-0.992139,-0.343874,-0.950027,-0.821571,-0.635846,0.785827,-0.779186,ULCER
-0.028112,-0.642857,0.065574,-0.995106,-0.375494,-0.958919,-0.886931,-0.713921,0.747026,-0.762276,ULCER
-0.277108,-0.528571,-0.122951,-0.976811,-0.454545,-0.888462,-0.886696,-0.613409,0.736575,-0.764744,ULCER
-0.196787,-0.557143,-0.07377,-0.993656,-0.407115,-0.987432,-0.946136,-0.887082,0.688236,-0.931026,ULCER
-0.293173,-0.642857,-0.196721,-0.989153,-0.383399,-0.906357,-0.674109,-0.216575,0.859738,-0.705505,ULCER
-0.24498,-0.514286,-0.057377,-0.99541,-0.44664,-0.959707,-0.842146,-0.669083,0.804308,-0.894236,ULCER
-0.172691,-0.557143,-0.016393,-0.990477,-0.41502,-0.925529,-0.813065,-0.533409,0.837263,-0.705549,ULCER
-0.437751,-0.6,-0.344262,-0.990221,-0.407115,-0.982254,-0.927995,-0.877113,0.734087,-0.894231,ULCER
-0.196787,-0.557143,-0.04918,-0.994935,-0.41502,-0.966497,-0.74042,-0.672083,0.768441,-0.879981,ULCER
-0.46988,-0.585714,-0.393443,-0.978323,-0.41502,-0.928605,-0.912916,-0.729173,0.819487,-0.705121,ULCER
-0.228916,-0.614286,-0.04918,-0.992896,-0.43083,-0.95074,-0.867142,-0.711864,0.757449,-0.861907,ULCER
0.02008,-0.571429,0.163934,-0.993686,-0.391304,-0.907333,-0.948643,-0.825801,0.635535,-0.88951,ULCER
-0.108434,-0.557143,0.04918,-0.995284,-0.399209,-0.944137,-0.815521,-0.581334,0.783635,-0.790504,ULCER
-0.228916,-0.514286,-0.090164,-0.993135,-0.43083,-0.952991,-0.910753,-0.778945,0.815639,-0.849787,ULCER
-0.092369,-0.614286,0.081967,-0.996575,-0.41502,-0.978203,-0.910675,-0.807207,0.692691,-0.890903,ULCER
-0.188755,-0.414286,0,-0.992814,-0.438735,-0.910897,-0.907344,-0.751801,0.685496,-0.92892,ULCER
-0.140562,-0.514286,0.016393,-0.995119,-0.41502,-0.865801,-0.508533,0.043405,0.880962,-0.723912,ULCER
-0.405622,-0.528571,-0.229508,-0.972036,-0.478261,-0.816279,-0.809612,-0.357267,0.829611,-0.827767,ULCER
0.188755,-0.6,0.336066,-0.997193,-0.383399,-0.987319,-0.964542,-0.924175,0.483404,-0.893002,ULCER
0.140562,-0.657143,0.237705,-0.991198,-0.375494,-0.886211,-0.706839,-0.225856,0.798883,-0.684511,ULCER
0.044177,-0.628571,0.131148,-0.993979,-0.367589,-0.976927,-0.92176,-0.83842,0.811753,-0.874602,ULCER
-0.277108,-0.528571,-0.098361,-0.972508,-0.44664,-0.915136,-0.952128,-0.808301,0.595991,-0.899723,ULCER
-0.004016,-0.614286,0.139344,-0.995686,-0.391304,-0.987057,-0.964634,-0.920657,0.529737,-0.93605,ULCER
0.092369,-0.685714,0.172131,-0.997706,-0.351779,-0.97704,-0.928879,-0.860251,0.70615,-0.878101,ULCER
