@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-14,16-24,26,28-37,40-46,48-76,78-88,90-131,133-185'

@attribute color_bgr_r_intensity1 numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_lab_b_intensity1 numeric
@attribute color_lab_a_frequency2 numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_g_intensity2 numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.114754,-0.143801,0.015767,-0.385714,-0.56,-0.658537,-0.980949,0.326316,-0.928756,-0.940561,NON_ULCER
-0.057377,-0.370725,0.094308,-0.328571,-0.546667,-0.113821,-0.988167,0.052632,-0.986147,-0.954905,NON_ULCER
-0.254098,-0.527172,0.242182,-0.314286,-0.466667,-0.276423,-0.937932,0.010526,-0.982224,-0.259843,NON_ULCER
-0.081967,-0.432824,0.205445,-0.3,-0.466667,-0.138211,-0.976609,-0.010526,-0.97808,-0.958505,NON_ULCER
0.286885,0.092577,0.206866,-0.542857,-0.533333,-0.235772,-0.990785,0.515789,-0.67358,-0.856201,NON_ULCER
0.114754,-0.117194,0.062025,-0.471429,-0.546667,-0.341463,-0.991648,0.389474,-0.965602,-0.915975,NON_ULCER
-0.07377,-0.345117,0.092932,-0.328571,-0.52,-0.569106,-0.994035,0.094737,-0.984324,-0.959606,NON_ULCER
-0.106557,-0.468475,0.178449,-0.3,-0.48,-0.609756,-0.979569,-0.073684,-0.990041,-0.979327,NON_ULCER
0.040984,-0.261845,-0.026876,-0.4,-0.573333,-0.479675,-0.974632,0.242105,-0.95756,-0.930554,NON_ULCER
0.180328,-0.009038,0.121326,-0.528571,-0.52,-0.365854,-0.994912,0.473684,-0.959251,-0.914886,NON_ULCER
0.040984,-0.288918,0.106415,-0.342857,-0.52,0.162602,-0.992569,0.157895,-0.977778,-0.956864,NON_ULCER
-0.114754,-0.419948,0.120383,-0.342857,-0.52,0.056911,-0.985884,0.031579,-0.992889,-0.963044,NON_ULCER
0.303279,0.169708,0.146105,-0.571429,-0.493333,-0.317073,-0.994993,0.557895,-0.96061,-0.952502,NON_ULCER
-0.098361,-0.415527,0.103633,-0.328571,-0.506667,-0.788618,-0.993822,0.031579,-0.989108,-0.975365,NON_ULCER
-0.180328,-0.482551,0.094124,-0.357143,-0.533333,-0.373984,-0.965972,-0.031579,-0.990588,-0.295608,NON_ULCER
-0.065574,-0.313949,0.048186,-0.357143,-0.533333,-0.577236,-0.995207,0.136842,-0.978034,-0.93221,NON_ULCER
0.032787,-0.246337,-0.137261,-0.371429,-0.64,-0.203252,-0.99459,0.2,-0.963267,-0.922298,NON_ULCER
0.131148,-0.173426,0.037027,-0.385714,-0.573333,-0.089431,-0.986311,0.263158,-0.894829,-0.819658,NON_ULCER
0.122951,-0.221229,0.137951,-0.314286,-0.506667,0.113821,-0.990071,0.157895,-0.969741,-0.938997,NON_ULCER
0.040984,-0.274516,0.147379,-0.357143,-0.506667,-0.349593,-0.993001,0.178947,-0.985195,-0.082925,NON_ULCER
0.114754,-0.222026,0.027214,-0.314286,-0.56,-0.487805,-0.979691,0.157895,-0.931896,-0.951432,NON_ULCER
0.032787,-0.276521,0.1343,-0.328571,-0.506667,-0.300813,-0.992614,0.157895,-0.977899,-0.955397,NON_ULCER
0.278689,0.020114,0.076605,-0.442857,-0.533333,-0.390244,-0.984377,0.389474,-0.571531,-0.891593,NON_ULCER
-0.008197,-0.367848,0.120004,-0.357143,-0.52,-0.455285,-0.965615,0.157895,-0.947086,-0.934716,NON_ULCER
0.491803,0.332036,0.198202,-0.571429,-0.48,-0.845528,-0.986988,0.6,-0.915963,-0.944135,NON_ULCER
0.008197,-0.330121,0.13031,-0.3,-0.506667,-0.373984,-0.957328,0.094737,-0.944567,-0.968079,NON_ULCER
0.229508,-0.087265,0.010398,-0.4,-0.56,-0.219512,-0.977874,0.305263,-0.569738,-0.733124,NON_ULCER
0.02459,-0.306554,0.157916,-0.328571,-0.493333,-0.219512,-0.989184,0.136842,-0.969653,-0.928322,NON_ULCER
-0.057377,-0.374115,0.10064,-0.342857,-0.533333,-0.138211,-0.972739,0.094737,-0.969276,-0.164366,NON_ULCER
-0.106557,-0.394553,0.151218,-0.328571,-0.506667,-0.170732,-0.985952,0.052632,-0.974426,-0.913627,NON_ULCER
0.344262,0.177233,0.122034,-0.514286,-0.52,-0.447154,-0.990615,0.515789,-0.617711,-0.867981,NON_ULCER
0.204918,-0.062696,0.061389,-0.428571,-0.546667,-0.308943,-0.986997,0.368421,-0.919084,-0.910867,NON_ULCER
0.016393,-0.320576,0.101411,-0.328571,-0.533333,-0.471545,-0.990965,0.094737,-0.990194,-0.982285,NON_ULCER
-0.098361,-0.436339,0.205372,-0.328571,-0.48,-0.365854,-0.9634,0.031579,-0.973061,-0.962758,NON_ULCER
-0.040984,-0.351405,0.096389,-0.342857,-0.52,-0.227642,-0.989085,0.094737,-0.963214,-0.952646,NON_ULCER
0.393443,0.257466,0.22274,-0.585714,-0.466667,-0.357724,-0.997111,0.578947,-0.845097,-0.883334,NON_ULCER
-0.016393,-0.310137,0.187089,-0.357143,-0.493333,-0.300813,-0.956702,0.263158,-0.655885,-0.79741,ULCER
0,-0.272823,0.117396,-0.371429,-0.506667,0,-0.944098,0.473684,-0.584478,-0.769305,ULCER
-0.090164,-0.228858,0.097999,-0.457143,-0.52,-0.601626,-0.964442,0.410526,-0.834761,-0.848055,ULCER
-0.270492,-0.469893,0.170237,-0.442857,-0.493333,-0.878049,-0.965361,0.2,-0.923509,-0.927175,ULCER
-0.131148,-0.401318,0.2145,-0.357143,-0.466667,-0.406504,-0.895509,0.347368,-0.625137,-0.796494,ULCER
-0.180328,-0.496743,0.282641,-0.342857,-0.44,-0.325203,-0.849115,0.094737,-0.799575,-0.737132,ULCER
0.139344,-0.061238,0.186717,-0.4,-0.48,-0.869919,-0.954993,0.326316,-0.669979,-0.815263,ULCER
-0.270492,-0.531773,0.130388,-0.414286,-0.506667,-0.365854,-0.9474,0.115789,-0.918612,-0.924779,ULCER
0.188525,0.044427,0.217608,-0.614286,-0.48,-0.813008,-0.992311,0.6,-0.951032,-0.970513,ULCER
0.213115,0.054874,0.126076,-0.442857,-0.506667,-0.886179,-0.981508,0.410526,-0.693501,-0.839568,ULCER
-0.131148,-0.417295,0.153313,-0.371429,-0.506667,-0.325203,-0.958432,0.2,-0.91417,-0.867159,ULCER
-0.114754,-0.414096,0.272546,-0.385714,-0.453333,-0.552846,-0.918833,0.242105,-0.679333,-0.830601,ULCER
