@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-41,43-72,75-77,79-103,105-130,132-146,148-158,160-185'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_b_intensity2 numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_entropy numeric
@attribute haralick_luv_v_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.096234,-0.586667,0.116252,0.366859,-0.984556,0.712694,-0.182723,-0.834717,0.817571,-0.864395,ULCER
0.07113,-0.6,0.157842,0.478547,-0.988359,0.663575,-0.20049,-0.921542,0.777312,-0.859774,ULCER
0.029289,-0.546667,0.16862,0.536376,-0.941247,0.880739,-0.409816,-0.856154,0.645747,-0.810921,ULCER
0.146444,-0.68,0.299054,0.634036,-0.998143,0.744592,-0.36015,-0.926416,0.823025,-0.756898,ULCER
-0.07113,-0.653333,0.278264,0.610948,-0.996076,0.888452,-0.306202,-0.937458,0.770738,-0.785455,ULCER
0.263598,-0.653333,0.255388,0.611808,-0.996132,0.833861,-0.35548,-0.928702,0.754758,-0.748502,ULCER
-0.046025,-0.64,0.203241,0.542879,-0.977694,0.963829,0.07595,-0.894197,0.794717,-0.584764,ULCER
0.497908,-0.573333,0.17572,0.55297,-0.995988,0.740238,-0.713452,-0.93983,0.809873,-0.812184,ULCER
0.330544,-0.666667,0.286769,0.625892,-0.996404,0.815688,-0.50713,-0.934525,0.775068,-0.777652,ULCER
0.230126,-0.653333,0.225084,0.589683,-0.989239,0.795313,-0.229425,-0.890056,0.840144,-0.726475,ULCER
0.355649,-0.613333,0.283088,0.640011,-0.992734,0.674046,-0.495996,-0.938882,0.782253,-0.828503,ULCER
0.121339,-0.533333,0.133784,0.529604,-0.980592,0.809868,-0.147283,-0.893205,0.835681,-0.775014,ULCER
0.464435,-0.6,0.214148,0.587093,-0.99771,0.770726,-0.736521,-0.957256,0.649244,-0.801065,ULCER
0.221757,-0.546667,0.136032,0.490581,-0.966843,0.811426,-0.459014,-0.829024,0.709065,-0.864284,ULCER
0.238494,-0.56,0.1184,0.455988,-0.993352,0.677591,-0.125064,-0.875822,0.834058,-0.754072,ULCER
-0.020921,-0.493333,0.023698,0.449187,-0.960442,0.464249,-0.350535,-0.853566,0.711047,-0.855648,ULCER
0.07113,-0.546667,0.128068,0.538292,-0.989176,0.719476,-0.107322,-0.864996,0.821704,-0.812752,ULCER
0.297071,-0.613333,0.213162,0.596261,-0.995278,0.747771,-0.695471,-0.915633,0.751257,-0.748892,ULCER
0.138075,-0.6,0.183249,0.505537,-0.985089,0.807928,-0.655308,-0.882033,0.68635,-0.746816,ULCER
0.313808,-0.586667,0.160275,0.500573,-0.99457,0.724795,-0.153147,-0.914986,0.851846,-0.828293,ULCER
-0.171548,-0.64,0.185286,0.492124,-0.984269,0.711361,-0.722348,-0.941513,0.767846,-0.671856,ULCER
0.205021,-0.586667,0.142702,0.452406,-0.994826,0.592676,-0.16309,-0.909854,0.783724,-0.81433,ULCER
0.087866,-0.546667,0.121033,0.499135,-0.984074,0.678564,-0.263507,-0.880049,0.848716,-0.716564,ULCER
0.171548,-0.533333,0.113327,0.496395,-0.979395,0.680279,-0.221195,-0.87496,0.756785,-0.856837,ULCER
0.34728,-0.533333,0.068943,0.334994,-0.98382,0.726279,-0.585808,-0.885398,0.452345,-0.918012,ULCER
0.079498,-0.52,0.061153,0.526816,-0.972361,0.761147,-0.34315,-0.864694,0.686022,-0.847182,ULCER
0.16318,-0.56,0.146627,0.529694,-0.989621,0.755152,-0.298844,-0.916582,0.765405,-0.77805,ULCER
0.087866,-0.533333,0.099165,0.486729,-0.982249,0.715079,-0.639337,-0.900796,0.673009,-0.763259,ULCER
0.138075,-0.586667,0.129069,0.426753,-0.991242,0.624748,-0.18068,-0.906576,0.841237,-0.870151,ULCER
-0.020921,-0.533333,-0.014717,0.113695,-0.994388,0.153974,-0.358257,-0.949147,0.753056,-0.96056,NON_ULCER
0.020921,-0.52,-0.026774,0.115684,-0.99466,0.015317,-0.330617,-0.965451,0.653863,-0.981133,NON_ULCER
-0.054393,-0.493333,-0.135496,0.003708,-0.964835,0.413825,-0.345001,-0.949104,0.741542,-0.940744,NON_ULCER
-0.096234,-0.466667,-0.160529,0.000973,-0.970194,0.284029,-0.335476,-0.947724,0.653712,-0.962907,NON_ULCER
-0.129707,-0.466667,-0.231911,-0.103502,-0.956705,0.352047,-0.351738,-0.943928,0.671808,-0.329396,NON_ULCER
0.34728,-0.426667,0.039698,0.590623,-0.991227,0.68916,-0.437345,-0.941124,0.6904,-0.893824,NON_ULCER
0.263598,-0.533333,0.064041,0.530496,-0.990675,0.678464,-0.354654,-0.904203,0.746096,-0.858534,NON_ULCER
0.129707,-0.546667,0.078179,0.396156,-0.997187,0.439921,-0.449571,-0.951562,0.780649,-0.951897,NON_ULCER
0.154812,-0.56,0.082956,0.312962,-0.997603,0.605583,-0.722314,-0.951433,0.847921,-0.943772,NON_ULCER
0.205021,-0.573333,0.103439,0.296929,-0.984612,0.715041,-0.898122,-0.970843,0.483857,-0.971204,NON_ULCER
0.054393,-0.52,-0.023185,0.150129,-0.99056,0.194765,-0.374441,-0.947077,0.602165,-0.940409,NON_ULCER
0.004184,-0.546667,-0.012896,0.101854,-0.995147,0.142187,-0.37185,-0.964157,0.690038,-0.956745,NON_ULCER
-0.037657,-0.546667,-0.048175,0.032347,-0.974347,0.24534,-0.345916,-0.945955,0.656303,-0.948749,NON_ULCER
-0.112971,-0.506667,-0.10506,0.004403,-0.986769,0.09759,-0.336952,-0.946732,0.594356,-0.965095,NON_ULCER
-0.138075,-0.493333,-0.114994,-0.082611,-0.970745,0.105306,-0.392097,-0.942677,0.56444,-0.330155,NON_ULCER
0.34728,-0.533333,0.103904,0.574383,-0.998388,0.536721,-0.420975,-0.952641,0.677464,-0.935089,NON_ULCER
0.213389,-0.52,0.055948,0.520999,-0.996448,0.526454,-0.354889,-0.945308,0.789546,-0.906914,NON_ULCER
0.112971,-0.533333,0.062885,0.453346,-0.99256,0.540922,-0.335501,-0.931075,0.692817,-0.882661,NON_ULCER
0.037657,-0.586667,0.082699,0.291878,-0.995702,0.435921,-0.639623,-0.963251,0.739833,-0.954867,NON_ULCER
0.012552,-0.613333,0.123391,0.207281,-0.989014,0.460677,-0.407137,-0.933102,0.734787,-0.924505,NON_ULCER
-0.012552,-0.64,0.149662,0.198644,-0.992421,0.275582,-0.380836,-0.956048,0.801149,-0.968999,NON_ULCER
0.07113,-0.506667,-0.029774,0.183867,-0.99474,0.212941,-0.388858,-0.97136,0.568347,-0.048678,NON_ULCER
0.573222,-0.493333,0.092222,0.614202,-0.998597,0.651171,-0.789473,-0.94932,0.725041,-0.954222,NON_ULCER
