@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-24,26-31,33-48,50-72,74,76-77,79-101,103-115,117-127,129-137,139-146,148,150-166,168,170,172-174,176-185'

@attribute color_bgr_b_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_r_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_a_correlation numeric
@attribute haralick_luv_v_energy numeric
@attribute haralick_bgr_br_energy numeric
@attribute haralick_lab_ab_contrast numeric
@attribute haralick_lab_ab_entropy numeric
@attribute lbph_bgr_r_entropy numeric
@attribute wavelet_bgr_b_3_lh_entropy numeric
@attribute wavelet_bgr_b_3_hl_entropy numeric
@attribute wavelet_bgr_g_3_lh_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.342925,-0.08648,0.21875,-0.086841,-0.041361,-0.294807,-0.99804,-0.988636,-0.952077,-0.8031,-0.863589,-0.946388,0.902143,0.798465,0.242685,0.242749,0.242622,-0.951789,NON_ULCER
0.034981,0.187246,0.09375,0.18605,0.136092,-0.448902,-0.98423,-0.922605,-0.951537,-0.872189,-0.924546,-0.887185,0.934639,0.71679,0.25188,0.251944,0.251816,-0.890436,NON_ULCER
0.046977,0.218593,0.03125,0.217699,0.129208,-0.459741,-0.996354,-0.919593,-0.953415,-0.870532,-0.925367,-0.906071,0.924896,0.794748,0.246397,0.246461,0.246333,-0.892272,NON_ULCER
0.030976,0.247422,-0.03125,0.246713,0.08877,-0.436147,-0.995222,-0.895839,-0.948227,-0.780885,-0.920984,-0.907289,0.909471,0.904167,0.266027,0.266092,0.265962,-0.927314,NON_ULCER
-0.020495,0.20238,0.0625,0.201402,0.075252,-0.420982,-0.998113,-0.919605,-0.956083,-0.766246,-0.927022,-0.931802,0.906205,0.823686,0.232233,0.232297,0.23217,-0.926948,NON_ULCER
0.041227,0.290522,-0.09375,0.289606,0.06895,-0.442089,-0.994342,-0.926835,-0.957192,-0.847076,-0.929964,-0.888833,0.918767,0.827474,0.231265,0.231328,0.231202,-0.940378,NON_ULCER
-0.52556,-0.274384,-0.03125,-0.275213,-0.106785,-0.301792,-0.992597,-0.974633,-0.94012,-0.770793,-0.872469,-0.942159,0.852055,0.416931,0.297941,0.298007,0.297874,-0.918058,NON_ULCER
-0.585484,-0.34649,-0.0625,-0.348365,-0.132165,-0.279159,-0.993753,-0.984338,-0.951493,-0.796142,-0.895921,-0.946388,0.875243,0.355822,0.256373,0.256438,0.256309,-0.920843,NON_ULCER
-0.035864,0.196074,-0.0625,0.19522,0.07052,-0.429577,-0.996985,-0.913962,-0.93362,-0.857571,-0.885869,-0.829738,0.897875,0.901409,0.31674,0.316807,0.316672,-0.888517,NON_ULCER
-0.522609,-0.279851,0,-0.281125,-0.097695,-0.287862,-0.99781,-0.993899,-0.951838,-0.699068,-0.850208,-0.953985,0.889266,0.594684,0.25188,0.251944,0.251816,-0.954431,NON_ULCER
